strain	date	data_source	sample_source	region	location	lineage	age
OP904069.1	2016-07-06	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904039.1	2016-07-07	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904106.1	2016-07-07	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904125.1	2016-07-16	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
MW221986.1	2016-07-20	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904067.1	2016-07-26	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904075.1	2016-08-04	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904071.1	2016-08-05	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904042.1	2016-09-20	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904048.1	2016-09-20	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904044.1	2016-10-07	GenBank	Tulloch	Oceania	Australia	A2.2.1	NA
OP904043.1	2016-10-09	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904073.1	2016-10-09	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904107.1	2016-10-09	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904070.1	2016-10-18	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904124.1	2016-11-02	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904105.1	2016-11-10	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904057.1	2017-01-27	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904110.1	2017-01-27	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904045.1	2017-03-31	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904049.1	2017-03-31	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904037.1	2017-04-07	GenBank	Tulloch	Oceania	Australia	A2.2.1	NA
OP904046.1	2017-05-10	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904050.1	2017-05-24	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904108.1	2017-05-24	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904041.1	2017-05-31	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904040.1	2017-06-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904036.1	2017-07-03	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904035.1	2017-07-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904038.1	2017-07-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OY757611.1	2017-07-06	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757646.1	2017-07-06	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OP904088.1	2017-08-04	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904104.1	2017-08-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904086.1	2017-08-05	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904087.1	2017-08-05	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904098.1	2017-08-05	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904094.1	2017-08-06	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904095.1	2017-08-14	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904093.1	2017-08-16	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904076.1	2017-09-01	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904078.1	2017-09-06	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904081.1	2017-09-10	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904097.1	2017-09-11	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904092.1	2017-09-16	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
MW221989.1	2017-09-16	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OY757792.1	2017-09-20	GenBank	Steinig JOACHIM	Oceania	Australia	NA	NA
OY757805.1	2017-09-20	GenBank	Steinig JOACHIM	Oceania	Australia	NA	NA
OP904085.1	2017-09-22	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904090.1	2017-09-25	GenBank	Tulloch	Oceania	Australia	B2	NA
MW221988.1	2017-09-25	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904099.1	2017-09-26	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904100.1	2017-09-26	GenBank	Tulloch	Oceania	Australia	B1	NA
MW221991.1	2017-09-26	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904083.1	2017-09-27	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904084.1	2017-09-27	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904102.1	2017-11-29	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904096.1	2017-11-30	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904077.1	2017-12-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904080.1	2017-12-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904091.1	2017-12-13	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904089.1	2017-12-18	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904079.1	2017-12-22	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904103.1	2017-12-22	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904101.1	2017-12-26	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904117.1	2018-04-30	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904112.1	2018-05-02	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904121.1	2018-05-04	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904123.1	2018-05-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904120.1	2018-05-12	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904114.1	2018-06-19	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904126.1	2018-06-22	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904128.1	2018-06-22	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904131.1	2018-06-22	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904119.1	2018-06-26	GenBank	Tulloch	Oceania	Australia	B2	NA
MW221992.1	2018-06-26	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904113.1	2018-06-29	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904118.1	2018-06-29	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904134.1	2018-06-29	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904115.1	2018-06-30	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904116.1	2018-07-01	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904135.1	2018-07-01	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904137.1	2018-07-01	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904133.1	2018-07-02	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904127.1	2018-07-03	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904130.1	2018-07-03	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904136.1	2018-11-27	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904122.1	2018-11-29	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904138.1	2018-11-29	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904129.1	2018-12-19	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904132.1	2018-12-20	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904082.1	2019-01-04	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904003.1	2019-07-06	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904005.1	2019-07-06	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904178.1	2019-07-06	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904004.1	2019-07-07	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904002.1	2019-07-09	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904177.1	2019-07-09	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904179.1	2019-07-25	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904180.1	2019-07-25	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904181.1	2019-07-25	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904176.1	2019-07-26	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904175.1	2019-07-27	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OY757613.1	2019-08-22	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757629.1	2019-08-22	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OP904013.1	2019-09-12	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904007.1	2019-09-13	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904010.1	2019-09-13	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904011.1	2019-09-13	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904014.1	2019-09-13	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904006.1	2019-09-14	GenBank	Tulloch	Oceania	Australia	A2.2.1	NA
OP904009.1	2019-09-14	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904012.1	2019-09-14	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904015.1	2019-09-14	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904008.1	2019-09-15	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904017.1	2019-09-15	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904019.1	2019-09-15	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904016.1	2019-09-16	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904018.1	2019-09-16	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904020.1	2019-09-16	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904021.1	2019-09-17	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904025.1	2019-09-20	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904026.1	2019-09-20	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904028.1	2019-09-20	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904030.1	2019-09-20	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904022.1	2019-09-21	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904023.1	2019-09-21	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904024.1	2019-09-21	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904027.1	2019-09-21	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904029.1	2019-09-21	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904031.1	2019-09-23	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904032.1	2019-09-23	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904033.1	2019-09-23	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904034.1	2019-09-24	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904154.1	2019-09-25	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904144.1	2019-09-26	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904146.1	2019-09-27	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904148.1	2019-09-27	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904149.1	2019-09-28	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904155.1	2019-09-28	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904151.1	2019-09-29	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904153.1	2019-09-30	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904157.1	2019-10-01	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904145.1	2019-10-02	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904147.1	2019-10-02	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904150.1	2019-10-02	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904152.1	2019-10-02	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
MW221993.1	2019-10-02	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904156.1	2019-10-06	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904140.1	2019-10-11	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904141.1	2019-10-15	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904143.1	2019-10-15	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904142.1	2019-10-22	GenBank	Tulloch	Oceania	Australia	B1	NA
MW221995.1	2020-01-23	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904158.1	2020-01-25	GenBank	Tulloch	Oceania	Australia	B2	NA
MW221994.1	2020-01-25	GenBank	Tulloch	Oceania	Australia	B2	NA
OP904159.1	2020-01-26	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904160.1	2020-01-26	GenBank	Tulloch	Oceania	Australia	B1	NA
MW221990.1	2020-08-05	GenBank	Tulloch	Oceania	Australia	B1	NA
OP904166.1	2021-06-09	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904165.1	2021-06-15	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904173.1	2021-06-21	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904172.1	2021-06-22	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904161.1	2021-06-27	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904162.1	2021-06-28	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904170.1	2021-06-30	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904167.1	2021-07-01	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904164.1	2021-07-07	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904169.1	2021-07-09	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904171.1	2021-07-09	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OY757690.1	2021-07-13	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OP904168.1	2021-07-16	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OP904163.1	2021-08-03	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OY757726.1	2021-08-09	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OP904174.1	2021-08-12	GenBank	Tulloch	Oceania	Australia	A2.2.2	NA
OY757607.1	2021-10-16	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757785.1	2021-10-16	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757685.1	2022-08-23	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.1	NA
OY757721.1	2022-08-23	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.1	NA
OY757582.1	2022-10-13	GenBank	Steinig JOACHIM	Oceania	Australia	B2	NA
OY757766.1	2022-10-13	GenBank	Steinig JOACHIM	Oceania	Australia	B2	NA
OY757727.1	2022-10-24	GenBank	Steinig JOACHIM	Oceania	Australia	B1	NA
OY757729.1	2022-10-24	GenBank	Steinig JOACHIM	Oceania	Australia	B1	NA
OY758981.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY758984.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	NA	NA
OY757788.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757822.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757824.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757825.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757828.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
OY757874.1	2023-XX-XX	GenBank	Steinig JOACHIM	Oceania	Australia	A2.2.2	NA
KC403980.1	2003-06-04	GenBank	Lorenzi	Oceania	Australia	A1	NA
KC562240.1	2003-07-07	GenBank	Lorenzi	Oceania	Australia	A2.2.1	NA
KF530182.1	2003-07-14	GenBank	Lorenzi	Oceania	Australia	B1	NA
KC562245.1	2003-08-09	GenBank	Lorenzi	Oceania	Australia	A2.1	NA
KF530179.1	2003-08-11	GenBank	Lorenzi	Oceania	Australia	B1	NA
KC562241.1	2003-08-12	GenBank	Lorenzi	Oceania	Australia	A1	NA
KC403977.1	2003-08-12	GenBank	Lorenzi	Oceania	Australia	A1	NA
KF530176.1	2003-08-22	GenBank	Lorenzi	Oceania	Australia	B2	NA
KC562233.1	2003-08-27	GenBank	Lorenzi	Oceania	Australia	A2.2.1	NA
KC562225.1	2003-09-01	GenBank	Lorenzi	Oceania	Australia	A2.2.1	NA
KC562224.1	2003-09-03	GenBank	Lorenzi	Oceania	Australia	A2.2.1	NA
KC403979.1	2003-09-03	GenBank	Lorenzi	Oceania	Australia	A2.1	NA
KC562226.1	2003-10-05	GenBank	Lorenzi	Oceania	Australia	A1	NA
KC403982.1	2003-10-07	GenBank	Lorenzi	Oceania	Australia	A2.1	NA
KC403981.1	2003-10-12	GenBank	Lorenzi	Oceania	Australia	A2.1	NA
KC562230.1	2004-03-05	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530171.1	2004-06-22	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530173.1	2004-07-06	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530177.1	2004-07-06	GenBank	Lorenzi	Oceania	Australia	B1	NA
KC562231.1	2004-07-24	GenBank	Lorenzi	Oceania	Australia	B2	NA
KF530168.1	2004-07-27	GenBank	Lorenzi	Oceania	Australia	B2	NA
KC562236.1	2004-08-06	GenBank	Lorenzi	Oceania	Australia	A1	NA
KC403978.1	2004-08-14	GenBank	Lorenzi	Oceania	Australia	A2.2.1	NA
KF530170.1	2004-08-15	GenBank	Lorenzi	Oceania	Australia	NA	NA
KF530167.1	2004-08-30	GenBank	Lorenzi	Oceania	Australia	B1	NA
KF530181.1	2004-09-01	GenBank	Lorenzi	Oceania	Australia	B1	NA
KC403983.1	2004-09-28	GenBank	Lorenzi	Oceania	Australia	A2.2.1	NA
KF530178.1	2004-10-11	GenBank	Lorenzi	Oceania	Australia	B2	NA
KC403984.1	2004-10-14	GenBank	Lorenzi	Oceania	Australia	A2.2.1	NA
MG431250.1	2010-01-04	GenBank	Di Paola	South-America	Brazil	B2	NA
PV081663.1	2024-12-26	GenBank	Sacchi	South-America	Brazil	B2	NA
PV081662.1	2024-12-30	GenBank	Sacchi	South-America	Brazil	NA	NA
PV081664.1	2024-12-30	GenBank	Sacchi	South-America	Brazil	B2	NA
PV081665.1	2025-01-03	GenBank	Sacchi	South-America	Brazil	NA	NA
PV081666.1	2025-01-13	GenBank	Sacchi	South-America	Brazil	NA	NA
PV081667.1	2025-01-13	GenBank	Sacchi	South-America	Brazil	B2	NA
PQ117895.1	2023-12-15	GenBank	Rothstein	North-America	California(USA)	A2.2.2	NA
PQ117897.1	2024-01-09	GenBank	Rothstein	North-America	California(USA)	A2.2.1	NA
PQ117898.1	2024-01-12	GenBank	Rothstein	North-America	California(USA)	A2.2.2	NA
PQ117900.1	2024-03-09	GenBank	Rothstein	North-America	California(USA)	A2.2.2	NA
PQ117893.1	2024-03-13	GenBank	Rothstein	North-America	California(USA)	A2.2.2	NA
PQ117901.1	2024-03-13	GenBank	Rothstein	North-America	California(USA)	A2.2.2	NA
PQ074242.1	2024-04-16	GenBank	Rothstein	North-America	California(USA)	A2.2.2	NA
MN867464.1	2009-02-19	GenBank	Li	East-Asia	China	A2.2.2	NA
MZ504958.1	2011-01-30	GenBank	Guo	East-Asia	China	A2.2.2	NA
MZ504959.1	2011-02-16	GenBank	Guo	East-Asia	China	B1	NA
OR338753.1	2011-03-XX	GenBank	Zhu	East-Asia	China	B1	NA
MZ504960.1	2012-02-23	GenBank	Guo	East-Asia	China	B1	NA
KU821121.1	2012-02-23	GenBank	Guo	East-Asia	China	A1	NA
OR338754.1	2012-02-XX	GenBank	Zhu	East-Asia	China	A2.2.2	NA
MZ504961.1	2013-01-06	GenBank	Guo	East-Asia	China	A2.2.2	NA
MZ504962.1	2013-01-28	GenBank	Guo	East-Asia	China	A2.2.2	NA
MZ504963.1	2013-04-18	GenBank	Guo	East-Asia	China	B1	NA
MZ504964.1	2014-02-14	GenBank	Guo	East-Asia	China	B2	NA
MZ221200.1	2014-XX-XX	GenBank	Jiang	East-Asia	China	B1	NA
MZ221201.1	2014-XX-XX	GenBank	Jiang	East-Asia	China	B1	NA
MZ221203.1	2014-XX-XX	GenBank	Jiang	East-Asia	China	B2	NA
MZ221204.1	2014-XX-XX	GenBank	Jiang	East-Asia	China	B2	NA
MZ504965.1	2015-02-05	GenBank	Guo	East-Asia	China	A2.2.2	NA
MZ504966.1	2015-02-13	GenBank	Guo	East-Asia	China	B2	NA
MZ504967.1	2015-04-09	GenBank	Guo	East-Asia	China	A2.2.2	NA
MN745084.1	2017-04-13	GenBank	Wang	East-Asia	China	A2.2.2	NA
MN745085.1	2017-04-20	GenBank	Wang	East-Asia	China	A2.2.2	NA
OP358286.1	2017-04-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MN745086.1	2017-05-18	GenBank	Wang	East-Asia	China	A2.2.2	NA
ON168639.1	2017-05-XX	GenBank	Wei	East-Asia	China	B1	NA
OM262398.1	2017-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262399.1	2017-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262401.1	2017-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262405.1	2017-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262408.1	2017-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262409.1	2017-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
MN745087.1	2018-03-12	GenBank	Wang	East-Asia	China	A2.2.2	NA
OP358284.1	2018-04-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MK087726.1	2018-04-XX	GenBank	Xu	East-Asia	China	A2.2.2	NA
OP345076.1	2018-05-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345077.1	2018-05-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MZ851992.1	2018-05-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MZ851993.1	2018-05-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MK820375.1	2018-05-XX	GenBank	Wang	East-Asia	China	B1	NA
MZ851795.1	2018-06-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MZ851796.1	2018-07-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345078.1	2018-11-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345079.1	2018-11-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345080.1	2018-11-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345081.1	2018-12-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345082.1	2018-12-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MZ851793.1	2018-12-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MZ221202.1	2018-XX-XX	GenBank	Jiang	East-Asia	China	B1	NA
OM262394.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262400.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262402.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262403.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262404.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262406.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262407.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262410.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262411.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262412.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262417.1	2018-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
